algo,dist_mean,dist_var,expanded_mean,expanded_var,h,heuristic,n_runs,p,path_len_nodes_mean,path_len_nodes_var,relaxed_mean,relaxed_var,time_s_mean,time_s_var,visited_mean,visited_var,w
astar,inf,nan,1828.1,6965911.31632653,100,manhattan,50,0.3,60.5,8716.785714285714,2019.5,7971160.255102041,0.01682436999748461,0.0006553513379403417,1892.6,6945818.408163264,100
dijkstra,inf,nan,3415.6,11887036.163265307,100,none,50,0.3,60.5,8716.785714285714,3414.6,11887036.163265307,0.024856898001162336,0.0006385385868540077,3415.6,11887036.163265307,100
astar,298.0,0.0,19829.9,11839.683673469388,150,euclidean,50,0.1,299.0,0.0,20044.5,7468.622448979592,0.25927888400037774,0.015122291955114385,20043.9,7467.030612244898,150
astar,298.0,0.0,5078.4,1737487.1836734693,150,manhattan,50,0.1,299.0,0.0,7297.6,3329787.1836734693,0.053152596001746134,0.0004227832574552107,6436.8,2601216.4897959186,150
dijkstra,298.0,0.0,20243.2,1793.2244897959183,150,none,50,0.1,299.0,0.0,20242.2,1793.2244897959183,0.2095562739961315,0.004017690825720925,20243.2,1793.2244897959183,150
astar,inf,nan,13552.2,46849130.571428575,150,euclidean,50,0.2,239.2,14596.081632653062,13690.7,47817034.908163264,0.14110525399795734,0.00561344685731741,13689.8,47803733.22448979,150
astar,inf,nan,2970.7,2742901.43877551,150,manhattan,50,0.2,239.2,14596.081632653062,4079.1,5169850.295918368,0.028334442002233118,0.0002583500060070405,3719.8,4273013.8367346935,150
dijkstra,inf,nan,14351.9,52533871.1122449,150,none,50,0.2,239.2,14596.081632653062,14350.9,52533871.1122449,0.12989087599795313,0.004766591726152908,14351.9,52533871.1122449,150
astar,inf,nan,7932.2,43441644.24489796,150,euclidean,50,0.3,151.3,23360.01020408163,8021.6,44343271.06122449,0.0803375060018152,0.004541220333250194,8022.1,44337242.948979594,150
astar,inf,nan,3243.5,19911280.663265307,150,manhattan,50,0.3,151.3,23360.01020408163,3721.3,22850978.58163266,0.030404457997065037,0.001503075562776936,3500.6,20103240.244897958,150
dijkstra,inf,nan,9271.1,58438773.35714286,150,none,50,0.3,151.3,23360.01020408163,9270.2,58440029.14285714,0.07637668599840254,0.004147888525582237,9271.2,58440029.14285714,150
astar,398.0,0.0,35553.6,12127.795918367347,200,euclidean,50,0.1,399.0,0.0,35714.6,6005.755102040816,0.39123523599817417,0.001354731243916559,35707.6,6024.530612244898,200
astar,398.0,0.0,7724.1,8835939.68367347,200,manhattan,50,0.1,399.0,0.0,11097.8,17215312.612244897,0.07550854000379331,0.000727750835128548,9652.0,12594345.102040816,200
dijkstra,398.0,0.0,36001.0,3861.8367346938776,200,none,50,0.1,399.0,0.0,36000.0,3861.8367346938776,0.3295196559955366,0.0014747015574583687,36001.0,3861.8367346938776,200
astar,inf,nan,24400.2,152055126.69387755,200,euclidean,50,0.2,279.3,34114.5,24581.4,154275033.10204083,0.32230781599879266,0.03851328914457164,24580.9,154253069.2755102,200
astar,inf,nan,8359.8,80549875.26530612,200,manhattan,50,0.2,279.3,34114.5,10576.8,108854870.36734694,0.09617648999672383,0.008456058585168855,9337.0,81180753.6734694,200
dijkstra,inf,nan,25525.8,166212610.36734694,200,none,50,0.2,279.3,34114.5,25524.8,166212610.36734694,0.26606407399638554,0.023351846449384085,25525.8,166212610.36734694,200
