algo,dist_m,expanded,graph,pair_id,path_len_nodes,reachable,relaxed,run_id,time_s,visited
astar,1741.493443616271,75,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,98,0,0.001819700002670288,83
dijkstra,1741.493443616271,320,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,441,1,0.00664360006339848,370
astar,1741.493443616271,75,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,98,1,0.0015702000819146633,83
dijkstra,1741.493443616271,320,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,441,2,0.003643200034275651,370
astar,1741.493443616271,75,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,98,2,0.0010173000628128648,83
dijkstra,3920.0950791772925,747,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,916,0,0.013661200064234436,751
astar,3920.0950791772925,288,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,382,0,0.004576900042593479,327
dijkstra,3920.0950791772925,747,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,916,1,0.009403600008226931,751
astar,3920.0950791772925,288,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,382,1,0.0037770000053569674,327
dijkstra,3920.0950791772925,747,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,916,2,0.008086399990133941,751
astar,3920.0950791772925,288,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,382,2,0.003707400057464838,327
dijkstra,6046.830264055449,746,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,889,0,0.006930500036105514,751
astar,6046.830264055449,386,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,512,0,0.006145299994386733,421
dijkstra,6046.830264055449,746,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,889,1,0.006787299993447959,751
astar,6046.830264055449,386,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,512,1,0.005965900025330484,421
dijkstra,6046.830264055449,746,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,889,2,0.010199800017289817,751
astar,6046.830264055449,386,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,512,2,0.007523800013586879,421
dijkstra,2078.623888699245,251,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,320,0,0.002458499977365136,278
astar,2078.623888699245,112,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,167,0,0.0013291999930515885,137
dijkstra,2078.623888699245,251,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,320,1,0.002380699967034161,278
astar,2078.623888699245,112,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,167,1,0.0013476000167429447,137
dijkstra,2078.623888699245,251,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,320,2,0.0022580999648198485,278
astar,2078.623888699245,112,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,167,2,0.001447899965569377,137
dijkstra,5914.233355596966,951,piscataway_new_jersey_usa_drive.graphml,0,48,True,1109,0,0.007713699946179986,977
astar,5914.233355596966,232,piscataway_new_jersey_usa_drive.graphml,0,48,True,308,0,0.003234800067730248,275
dijkstra,5914.233355596966,951,piscataway_new_jersey_usa_drive.graphml,0,48,True,1109,1,0.00893570005428046,977
astar,5914.233355596966,232,piscataway_new_jersey_usa_drive.graphml,0,48,True,308,1,0.0025471000699326396,275
dijkstra,5914.233355596966,951,piscataway_new_jersey_usa_drive.graphml,0,48,True,1109,2,0.009195699938572943,977
astar,5914.233355596966,232,piscataway_new_jersey_usa_drive.graphml,0,48,True,308,2,0.0024408999597653747,275
dijkstra,5662.2798132001235,1146,piscataway_new_jersey_usa_drive.graphml,1,55,True,1328,0,0.010845899931155145,1186
astar,5662.2798132001235,234,piscataway_new_jersey_usa_drive.graphml,1,55,True,313,0,0.002370900008827448,287
dijkstra,5662.2798132001235,1146,piscataway_new_jersey_usa_drive.graphml,1,55,True,1328,1,0.009529300034046173,1186
astar,5662.2798132001235,234,piscataway_new_jersey_usa_drive.graphml,1,55,True,313,1,0.0025396000128239393,287
dijkstra,5662.2798132001235,1146,piscataway_new_jersey_usa_drive.graphml,1,55,True,1328,2,0.009416699991561472,1186
astar,5662.2798132001235,234,piscataway_new_jersey_usa_drive.graphml,1,55,True,313,2,0.0022996999323368073,287
