diag,dist,expanded,h,heuristic,note,p,path_len_nodes,phase,relaxed,run_id,seed,time_s,visited,w
False,238.0,9708,120,euclidean,,0.25,239,rerun_after_add,9853,1,5,0.24074420001124963,9854,120
False,238.0,9708,120,euclidean,boxed_repair,0.25,239,repair_after_add,9853,1,5,0.26449110003886744,9854,120
False,238.0,1656,120,manhattan,,0.25,239,first_astar,2188,2,5,0.02242119994480163,2067,120
False,238.0,1985,120,manhattan,,0.25,239,rerun_after_add,2537,2,5,0.023502199968788773,2359,120
False,238.0,1985,120,manhattan,boxed_repair,0.25,239,repair_after_add,2537,2,5,0.02740219997940585,2359,120
False,238.0,9712,120,euclidean,,0.25,239,first_astar,9852,2,5,0.1518762999912724,9853,120
False,238.0,9708,120,euclidean,,0.25,239,rerun_after_add,9853,2,5,0.18963489995803684,9854,120
False,238.0,9708,120,euclidean,boxed_repair,0.25,239,repair_after_add,9853,2,5,0.23844630003441125,9854,120
False,238.0,1656,120,manhattan,,0.25,239,first_astar,2188,3,5,0.04276169999502599,2067,120
False,238.0,1985,120,manhattan,,0.25,239,rerun_after_add,2537,3,5,0.049413500004448,2359,120
False,238.0,1985,120,manhattan,boxed_repair,0.25,239,repair_after_add,2537,3,5,0.0687045999802649,2359,120
False,238.0,9712,120,euclidean,,0.25,239,first_astar,9852,3,5,0.23799110000254586,9853,120
False,238.0,9708,120,euclidean,,0.25,239,rerun_after_add,9853,3,5,0.16709639999317005,9854,120
False,238.0,9708,120,euclidean,boxed_repair,0.25,239,repair_after_add,9853,3,5,0.20692570001119748,9854,120
False,238.0,1656,120,manhattan,,0.25,239,first_astar,2188,4,5,0.04306679998990148,2067,120
False,238.0,1985,120,manhattan,,0.25,239,rerun_after_add,2537,4,5,0.0672276999684982,2359,120
False,238.0,1985,120,manhattan,boxed_repair,0.25,239,repair_after_add,2537,4,5,0.07636329997330904,2359,120
False,238.0,9712,120,euclidean,,0.25,239,first_astar,9852,4,5,0.2964586999733001,9853,120
False,238.0,9708,120,euclidean,,0.25,239,rerun_after_add,9853,4,5,0.19550219998927787,9854,120
False,238.0,9708,120,euclidean,boxed_repair,0.25,239,repair_after_add,9853,4,5,0.372058900014963,9854,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,0,6,0.12926070002140477,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,0,6,0.0754066999652423,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,0,6,0.06677459995262325,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,0,6,0.3502060999744572,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,0,6,0.3144532999722287,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,0,6,0.21932470001047477,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,1,6,0.043594099988695234,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,1,6,0.02154980000341311,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,1,6,0.024829600006341934,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,1,6,0.310437899956014,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,1,6,0.19879599998239428,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,1,6,0.17755730001954362,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,2,6,0.03036860004067421,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,2,6,0.01880160003202036,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,2,6,0.022645800025202334,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,2,6,0.16506060003302991,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,2,6,0.1623455000226386,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,2,6,0.1857832000241615,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,3,6,0.05118779995245859,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,3,6,0.02514419995713979,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,3,6,0.03230690001510084,1833,120
